Start day	-	Friday
End day		-	Thursday

Analysis for: 0000_NIFTY

Average Absolute Change Percentage: 1.91%
Average Max Peak Change Percentage: 3.01%

Minimum Max Peak Change: 0.50% (Important Factor)

Percentile Analysis (Top 20 ranges):

Percentile   Abs Change   Max Peak Change
----------------------------------------
0-5%         8.72%         11.75%
5-10%        4.46%         6.11%
10-15%       3.60%         4.99%
15-20%       3.17%         4.38%
20-25%       2.85%         3.91%
25-30%       2.51%         3.57%
30-35%       2.26%         3.28%
35-40%       1.99%         3.05%
40-45%       1.73%         2.83%
45-50%       1.54%         2.60%
50-55%       1.39%         2.37%
55-60%       1.24%         2.20%
60-65%       1.07%         2.02%
65-70%       0.93%         1.86%
70-75%       0.78%         1.71%
75-80%       0.65%         1.57%
80-85%       0.51%         1.40%
85-90%       0.38%         1.23%
90-95%       0.24%         1.05%
95-100%      0.07%         0.84%

Average Friday-to-Thursday Changes Per Year:

Year   Abs Change   Max Peak Change
-----------------------------------
1996   2.45%         3.89%
1997   2.38%         3.96%
1998   2.54%         4.23%
1999   2.68%         4.41%
2000   2.31%         4.85%
2001   2.07%         3.54%
2002   1.54%         2.48%
2003   2.19%         3.00%
2004   1.96%         3.37%
2005   1.71%         2.62%
2006   2.16%         3.68%
2007   2.39%         3.67%
2008   3.37%         5.99%
2009   3.26%         4.65%
2010   1.57%         2.30%
2011   2.13%         3.06%
2012   1.30%         1.97%
2013   1.60%         2.42%
2014   1.34%         2.00%
2015   1.64%         2.36%
2016   1.69%         2.22%
2017   0.92%         1.42%
2018   1.13%         1.79%
2019   1.20%         1.88%
2020   2.55%         3.90%
2021   1.75%         2.46%
2022   1.61%         2.43%
2023   1.00%         1.55%
2024   1.24%         1.84%
2025   0.97%         1.63%

Monthly Absolute Change Percentages Table:

Month     Jan    Feb   Mar   Apr   May   Jun   Jul   Aug   Sep   Oct   Nov   Dec
2017     1.08   1.34  0.96  0.60  0.22  1.61  0.01  0.20  1.02  0.98  1.57  0.25
2018     1.61   0.31  0.79  0.12  1.24  0.33  0.30  1.23  3.03  3.49  2.53  1.73
2019     0.47   0.01  0.22  0.25  0.66  1.34  2.70  1.59  1.72  2.53  0.31  0.30
2020     1.47   0.60  1.19  7.71  4.68  1.62  1.14  1.03  3.32  4.10  1.27  0.08
2021     9.25   3.80  2.48  0.64  1.65  1.14  3.37  3.17  1.32  1.39  2.20  2.26
2022     2.68   0.96  1.82  2.46  1.69  0.52  1.30  0.09  1.39  1.49  1.62  0.62
2023     0.03   0.82  1.38  1.06  0.06  1.61  1.35  0.06  0.47  0.45  1.71  0.33
2024     1.25   1.03  1.04  1.02  1.29  1.21  0.71  0.36  3.55  0.10  2.39  1.58
2025     0.40   1.90  1.03   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN
Average  1.75   3.07  1.91  2.06  2.34  1.69  1.61  1.32  1.82  2.08  1.81  1.98

Monthly Max Peak Change Percentages Table:

Month     Jan    Feb    Mar    Apr    May   Jun   Jul   Aug   Sep    Oct   Nov   Dec
Year                                                                                
1996     3.51   3.53   3.43   1.60   3.92  5.88  4.97  1.70  2.75   4.24  6.61  3.28
1997     2.92  16.95   1.29   2.24   4.24  5.76  3.35  3.66  2.24   9.54  1.69  2.17
1998     2.59   3.88   2.56   3.07   5.00  3.07  4.34  2.09  3.87   2.00  1.67  4.72
1999     4.27  14.01   4.72   7.14   5.51  1.84  2.72  3.17  3.46   6.46  2.08  3.15
2000     4.86   4.92   9.64  10.55  10.62  4.04  1.62  1.49  2.74   4.04  4.55  5.37
2001     3.39   5.99   4.20   4.48   2.73  4.12  2.47  1.93  1.93   2.49  3.64  3.97
2002     1.97   3.65   1.81   2.20   4.20  1.96  3.07  1.95  3.14   2.26  2.44  1.28
2003     2.31   3.18   2.71   1.52   3.13  2.24  3.07  2.83  4.17   4.78  4.24  4.35
2004     2.99   3.77   4.32   2.97   3.83  3.40  1.47  2.00  1.56   3.70  2.32  4.63
2005     3.76   3.49   4.83   3.72   1.02  1.47  2.81  2.35  2.61   4.30  2.36  2.81
2006     0.95   3.94   4.70   4.74   8.51  2.33  3.30  1.96  2.22   1.77  0.99  1.88
2007     1.66   6.70   5.35   1.90   1.38  1.58  2.66  1.31  4.78   5.43  4.59  2.47
2008     5.80   5.04   6.34   4.34   6.86  6.97  3.54  3.72  3.95  12.30  6.69  6.37
2009     4.24   7.22   4.70   2.59   3.09  2.88  2.05  3.29  3.06   3.68  4.84  4.21
2010     1.42   3.55   0.90   4.55   2.08  1.34  2.23  1.95  0.92   4.53  4.83  1.83
2011     2.00   5.04   3.85   5.32   2.21  3.41  2.90  2.48  3.42   2.96  6.41  3.43
2012     2.46   2.97   2.70   1.71   2.03  1.04  2.87  0.81  1.82   1.43  1.07  1.84
2013     0.81   3.05   1.19   2.52   1.95  1.40  3.58  2.81  2.27   2.67  2.02  1.62
2014     2.57   2.07   1.21   1.64   3.52  3.27  1.06  0.70  3.01   3.24  0.97  1.15
2015     1.42   3.10   2.86   1.93   4.47  2.21  0.99  3.78  3.24   1.51  1.13  1.63
2016     2.82   6.46   1.40   1.94   0.89  2.71  1.39  2.88  2.27   1.87  1.68  1.18
2017     1.35   1.82   1.09   0.66   0.57  1.89  1.23  0.99  1.61   1.26  1.72  1.20
2018     1.98   1.34   1.43   0.86   1.50  1.02  0.99  2.45  3.51   4.11  2.65  1.83
2019     1.83   1.37   1.18   0.84   1.51  1.53  3.57  2.51  2.30   3.12  1.00  0.77
2020     2.91   2.06  14.11   8.03   6.22  2.07  1.73  2.76  3.42   4.20  1.91  4.57
2021     9.38   5.12   2.59   1.47   1.75  1.22  3.72  3.23  1.55   1.93  2.31  3.40
2022     4.05   1.81   2.37   2.80   2.10  1.45  1.94  2.24  1.96   2.20  2.02  1.17
2023     2.09   1.21   1.61   1.12   0.88  1.68  1.78  0.97  1.55   0.98  1.84  1.06
2024     2.24   1.58   1.90   1.62   5.54  1.63  0.98  0.60  3.62   1.31  3.01  1.74
2025     1.27   1.95   2.22    NaN    NaN   NaN   NaN   NaN   NaN    NaN   NaN   NaN
Average  2.86   4.36   3.44   3.11   3.49  2.60  2.50  2.23  2.72   3.60  2.87  2.73
